"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 12 21:20:13 EET 2023","Thu Oct 12 21:20:23 EET 2023","10141","chromium","OFS.spec.js","verify link are redirecting correct pages","","","pricing",""
"passed","Thu Oct 12 21:18:29 EET 2023","Thu Oct 12 21:18:42 EET 2023","13115","chromium","Built-inLocators.spec.js","","","","built in locators",""
"passed","Thu Oct 12 21:31:15 EET 2023","Thu Oct 12 21:31:24 EET 2023","8170","firefox","PublicOFS\homePageTests.spec.js","verify link are redirecting correct pages","","","pricing",""
"passed","Thu Oct 12 21:30:51 EET 2023","Thu Oct 12 21:30:58 EET 2023","7207","chromium","PublicOFS\homePageTests.spec.js","verify link are redirecting correct pages","","","pricing",""
"passed","Thu Oct 12 21:30:39 EET 2023","Thu Oct 12 21:30:51 EET 2023","12702","chromium","PublicOFS\homePageTests.spec.js","verify link are redirecting correct pages","","","product link",""
"passed","Thu Oct 12 21:31:43 EET 2023","Thu Oct 12 21:31:52 EET 2023","8390","webkit","PublicOFS\homePageTests.spec.js","verify link are redirecting correct pages","","","pricing",""
"passed","Thu Oct 12 21:31:30 EET 2023","Thu Oct 12 21:31:47 EET 2023","16561","webkit","PublicOFS\homePageTests.spec.js","verify link are redirecting correct pages","","","get started link",""
"passed","Thu Oct 12 21:30:39 EET 2023","Thu Oct 12 21:30:56 EET 2023","17105","chromium","PublicOFS\homePageTests.spec.js","verify link are redirecting correct pages","","","get started link",""
"passed","Thu Oct 12 21:18:29 EET 2023","Thu Oct 12 21:18:37 EET 2023","8041","chromium","ExampleTest.spec.js","","","","POM test",""
"passed","Thu Oct 12 21:18:47 EET 2023","Thu Oct 12 21:18:54 EET 2023","7682","chromium","OFS.spec.js","verify link are redirecting correct pages","","","product link",""
"passed","Thu Oct 12 21:19:02 EET 2023","Thu Oct 12 21:19:08 EET 2023","6009","chromium","test-1.spec.ts","","","","test",""
"passed","Thu Oct 12 21:18:42 EET 2023","Thu Oct 12 21:18:50 EET 2023","7833","chromium","Locators.spec.js","","","","Locators",""
"passed","Thu Oct 12 06:17:32 EET 2023","Thu Oct 12 06:17:40 EET 2023","8568","chromium","OFS.spec.js","","","","OFS POM test",""
"passed","Thu Oct 12 21:18:41 EET 2023","Thu Oct 12 21:18:47 EET 2023","5880","chromium","LocateMultipleElements.spec.ts","","","","locate multiple elements",""
"passed","Thu Oct 12 21:18:37 EET 2023","Thu Oct 12 21:18:41 EET 2023","3464","chromium","HomePage.spec.ts","","","","Home Page",""
"passed","Thu Oct 12 21:30:58 EET 2023","Thu Oct 12 21:31:15 EET 2023","17752","firefox","PublicOFS\homePageTests.spec.js","verify link are redirecting correct pages","","","product link",""
"passed","Thu Oct 12 21:31:27 EET 2023","Thu Oct 12 21:31:43 EET 2023","15644","webkit","PublicOFS\homePageTests.spec.js","verify link are redirecting correct pages","","","product link",""
"passed","Thu Oct 12 21:18:50 EET 2023","Thu Oct 12 21:19:02 EET 2023","11752","chromium","OFS.spec.js","verify link are redirecting correct pages","","","get started link",""
"passed","Thu Oct 12 21:31:02 EET 2023","Thu Oct 12 21:31:23 EET 2023","21618","firefox","PublicOFS\homePageTests.spec.js","verify link are redirecting correct pages","","","get started link",""
